id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
395	flash point	0.6833	-0.3242	2	135	318	26	2019.7308
396	flaxseed oil	0.3386	-0.5029	2	3	15	5	2019
397	flow rate	0.202	0.0609	4	166	385	24	2018.5417
398	flower	-0.7673	-0.1414	1	49	137	11	2017.3636
399	fold	0.0072	0.4578	3	93	162	10	2019.6
400	food	0.0412	0.271	7	64	117	8	2020.25
401	food waste	0.2976	-0.1945	3	72	246	14	2019.1429
402	formic acid	-0.7017	-0.031	1	152	498	32	2018.3438
403	fossil diesel	0.981	0.0956	6	76	284	15	2019.7333
404	fourier transform infrared spectroscopy	0.3516	-0.3783	2	47	82	9	2019
405	frequency factor	0.5878	-0.4287	2	41	54	5	2021
406	fructose	-0.8206	-0.3404	1	93	396	29	2017.5172
407	fruit	0.5417	-0.0351	2	33	92	8	2021.875
408	ft ir analysis	-0.2985	-0.6078	4	55	102	6	2019
409	fuel blend	1.6468	0.2077	6	118	741	26	2020.3846
410	fuel cell	-0.5239	0.9515	5	130	452	30	2018.1667
411	fuel consumption	1.1072	0.107	6	80	165	12	2020.75
412	functionality	-0.3463	0.0825	1	66	128	10	2019.3
413	functionalization	-0.2348	0.1925	2	88	146	8	2019
414	fur	-1.1674	-0.2664	1	10	34	5	2018.4
415	furan	-0.8729	-0.2997	1	175	613	37	2018.8378
416	furfural	-0.7974	0.062	1	152	431	27	2019.1852
417	furfural alcohol	-0.9281	-0.2706	1	56	93	5	2020.2
418	furfural conversion	-0.8073	-0.0488	1	43	70	5	2019.8
419	furfuryl alcohol	-0.9486	-0.0114	1	114	360	21	2020
420	future research	0.101	0.3118	3	51	79	6	2021.3333
421	fwwd1	0.9951	0.7385	3	13	162	6	2019
422	fwwd2	1.0014	0.7439	3	13	140	5	2019
423	g g	-0.547	0.1214	1	42	144	9	2020
424	g l	0.3394	0.2022	3	93	465	28	2020.2143
425	g l1	0.6819	0.7893	3	43	122	5	2020.2
426	gas chromatography mass spectroscopy	0.488	-0.4301	2	72	116	9	2018.8889
427	gas product	0.1252	-0.8054	4	47	175	7	2016.8571
428	gase	0.1839	-0.2005	4	135	341	18	2018
429	gaseous product	0.004	-0.3134	4	102	240	16	2017.6875
430	gasification	0.2818	-0.147	4	113	686	31	2018
431	gasoline	0.304	-0.0417	6	117	310	18	2019.7778
